district_name,date,dem_percent,rep_percent,sample_size,registered_voter,pollster_lean,pollster_grade,pollster_name
NC-07,8/22/2018,0.44,0.4,500,Likely,-0.038,D,Lincoln Park Strategies
NC-09,10/3/2018,0.42,0.46,448,Likely,-0.001,A,Siena College
OH-12,9/6/2018,0.46,0.47,500,Likely,-0.01,B,GBA Strategies
KY-06,9/7/2018,0.47,0.47,600,Likely,0.0012,C,Rasmussen Reports/Pulse Opinion Research
AR-04,9/7/2018,0.24,0.54,423,Likely,0.011,B,Hendrix College
NY-22,8/26/2018,0.46,0.44,499,Likely,-0.001,A,Sienna College
NY-01,9/17/2018,0.44,0.47,400,Likely,-0.022,C,Global Strategy Group
AK-01,6/12/2018,0.36,0.4,540,Likely,-0.038,D,Lake Research Partners
MN-01,8/26/2018,0.33,0.47,400,Likely,0.041,B,Harper Polling
KY-06,2/7/2018,0.44,0.48,401,Likely,-0.041,B,Garin-Hart-Yang Research Group
NJ-03,2/15/2018,0.43,0.47,336,Voters,-0.021,B,Public Policy Polling
WA-05,9/16/2018,0.46,0.49,521,Likely,-0.057,D,"Fairbank, Maslin, Maulin, Metz & Associates"
KY-06,9/8/2018,0.46,0.47,506,Likely,0.0001,A,Siena College
WI-01,9/13/2018,0.44,0.5,500,Likely,-0.001,A,Siena College
ID-01,7/9/2018,0.27,0.35,315,Adults,-0.002,C,Dan Jones & Associates
KY-06,5/2/2018,0.52,0.37,508,Likely,-0.035,C,DCCC Targeting Team
AR-03,9/7/2018,0.31,0.53,428,Likely,0.011,B,Hendrix College
NY-19,9/6/2018,0.49,0.44,327,Likely,-0.014,A,Monmouth University
NJ-03,4/17/2018,0.41,0.42,669,Voters,-0.021,B,Public Policy Polling
WA-05,4/17/2018,0.45,0.48,689,Voters,-0.021,D,Public Policy Polling
KY-06,6/7/2018,0.51,0.38,400,Likely,0.015,B,"Fabrizio, Lee & Associates"
KY-06,9/6/2018,0.45,0.49,400,Likely,0.015,B,"Fabrizio, Lee & Associates"
UT-01,8/31/2018,0.22,0.59,201,Adults,-0.002,C,Dan Jones & Associates
AR-02,9/7/2018,0.41,0.5,428,Likely,0.011,B,Hendrix College
NY-22,4/27/2018,0.55,0.45,358,Likely,-0.004,C,Zogby Interactive/JZ Analytics
PA-01,10/1/2018,0.46,0.5,353,Likely,0.014,A,Monmouth University
ID-02,7/9/2018,0.23,0.59,285,Adults,-0.002,C,Dan Jones & Associates
NY-19,8/26/2018,0.4,0.45,501,Likely,-0.001,A,Siena College
NM-03,6/16/2018,0.58,0.3,446,Likely,0.025,D,Carroll Strategies
ME-02,9/14/2018,0.42,0.47,506,Likely,-0.001,A,Siena College
MN-02,10/2/2018,0.51,0.39,487,Likely,-0.001,A,Siena Collge
WA-05,4/7/2018,0.38,0.44,403,Registered,-0.002,D,Elway Research
GA-06,8/26/2018,0.47,0.49,600,Likely,-0.038,D,Thirty-Ninth Street Strategies
KY-06,7/10/2018,0.5,0.43,461,Likely,-0.041,B,Garin-Hart-Yang Research Group
NJ-03,6/3/2018,0.44,0.48,550,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps) 
AR-02,4/17/2018,0.42,0.47,610,Voters,-0.021,B,Public Policy Polling
MN-02,10/1/2018,0.43,0.46,412,Likely,0.064,B,Wilson Perkins Allen Opinion Research
PA-01,6/3/2018,0.48,0.48,254,Likely,0.014,A,Monmouth University
UT-01,8/27/2018,0.16,0.51,600,Registered,-0.006,D,Lighthouse Research
NJ-03,6/21/2018,0.42,0.42,400,Likely,-0.022,C,Global Strategy Group
AR-01,9/7/2018,0.22,0.57,422,Likely,0.011,B,Hendrix College
MN-02,9/23/2018,0.48,0.45,569,Likely,0.003,A,SurveyUSA
WA-05,2/3/2018,0.43,0.47,414,Likely,-0.035,D,DCCC Targeting Team D
NC-02,8/28/2018,0.45,0.44,401,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
NY-19,7/12/2018,0.44,0.49,400,Registered,0.017,C,IMGE Insights
NY-22,3/12/2018,0.5,0.44,500,Likely,-0.017,D,Greenberg Quinlan Rosner (Democracy Corps)
ME-02,9/7/2018,0.54,0.46,400,Registered,-0.042,B,Mellman Group
MN-02,9/18/2018,0.48,0.45,531,Voters,0.021,B,Public Policy Polling
MI-06,9/5/2018,0.41,0.45,750,Voters,-0.021,B,Public Policy Polling
